"TIME","GEO","WASTE","STK_FLOW","WST_OPER","UNIT","Value"
"2011","Estonia","Plastic packaging","Domestic","Recovery","Tonne","24 692"
"2011","Ireland","Plastic packaging","Domestic","Waste generated","Tonne","158 707"
"2011","Ireland","Plastic packaging","Domestic","Recovery","Tonne","75 366"
"2011","Greece","Plastic packaging","Domestic","Waste generated","Tonne","207 770"
"2011","Greece","Plastic packaging","Domestic","Recovery","Tonne","68 530"
"2011","Spain","Plastic packaging","Domestic","Waste generated","Tonne","1 355 155"
"2011","Spain","Plastic packaging","Domestic","Recovery","Tonne","751 781"
"2011","France","Plastic packaging","Domestic","Waste generated","Tonne","2 031 859"
"2011","France","Plastic packaging","Domestic","Recovery","Tonne","1 239 043"
"2011","Croatia","Plastic packaging","Domestic","Waste generated","Tonne",":"
"2011","Croatia","Plastic packaging","Domestic","Recovery","Tonne",":"
"2011","Italy","Plastic packaging","Domestic","Waste generated","Tonne","2 075 000"
"2011","Italy","Plastic packaging","Domestic","Recovery","Tonne","1 411 819"
"2011","Cyprus","Plastic packaging","Domestic","Waste generated","Tonne","15 184"
"2011","Cyprus","Plastic packaging","Domestic","Recovery","Tonne","5 784"
"2011","Latvia","Plastic packaging","Domestic","Waste generated","Tonne","36 186"
"2011","Latvia","Plastic packaging","Domestic","Recovery","Tonne","12 679"
"2011","Lithuania","Plastic packaging","Domestic","Waste generated","Tonne","60 356"
"2011","Lithuania","Plastic packaging","Domestic","Recovery","Tonne","23 477"
"2011","Luxembourg","Plastic packaging","Domestic","Waste generated","Tonne","23 800"
"2011","Luxembourg","Plastic packaging","Domestic","Recovery","Tonne","20 754"
"2011","Hungary","Plastic packaging","Domestic","Waste generated","Tonne","208 662"
"2011","Hungary","Plastic packaging","Domestic","Recovery","Tonne","102 366"
"2011","Malta","Plastic packaging","Domestic","Waste generated","Tonne","11 403"
"2011","Malta","Plastic packaging","Domestic","Recovery","Tonne","3 370"
"2011","Netherlands","Plastic packaging","Domestic","Waste generated","Tonne","444 000"
"2011","Netherlands","Plastic packaging","Domestic","Recovery","Tonne","436 120"
"2011","Austria","Plastic packaging","Domestic","Waste generated","Tonne","264 152"
"2011","Austria","Plastic packaging","Domestic","Recovery","Tonne","264 152"
"2011","Poland","Plastic packaging","Domestic","Waste generated","Tonne","784 474"
"2011","Poland","Plastic packaging","Domestic","Recovery","Tonne","202 875"
"2011","Portugal","Plastic packaging","Domestic","Waste generated","Tonne","356 709"
"2011","Portugal","Plastic packaging","Domestic","Recovery","Tonne","135 760"
"2011","Romania","Plastic packaging","Domestic","Waste generated","Tonne","278 810"
"2011","Romania","Plastic packaging","Domestic","Recovery","Tonne","120 370"
"2011","Slovenia","Plastic packaging","Domestic","Waste generated","Tonne","44 729"
"2011","Slovenia","Plastic packaging","Domestic","Recovery","Tonne","36 635"
"2011","Slovakia","Plastic packaging","Domestic","Waste generated","Tonne","106 624"
"2011","Slovakia","Plastic packaging","Domestic","Recovery","Tonne","57 248"
"2011","Finland","Plastic packaging","Domestic","Waste generated","Tonne","117 126"
"2011","Finland","Plastic packaging","Domestic","Recovery","Tonne","54 768"
"2011","Sweden","Plastic packaging","Domestic","Waste generated","Tonne","211 901"
"2011","Sweden","Plastic packaging","Domestic","Recovery","Tonne","123 403"
"2011","United Kingdom","Plastic packaging","Domestic","Waste generated","Tonne","2 515 809"
